,Trial_ID,cluster,Rat_ID,Amplitude,Frequency_Hz,Pulse_Width(us),post_stim,pre_stim,percent_change,Trial_Cluster
190,DW323_VF_2_240911_165039,8.0,DW323,70,20,300,3.3314391031155027e-06,7.4638426715293e-06,-55.36563068480502,DW323_VF_2_240911_165039_8.0
191,DW323_VF_2_240911_165039,10.0,DW323,70,20,300,1.7582721083855877e-05,2.9729616084276222e-05,-40.85789391288087,DW323_VF_2_240911_165039_10.0
192,DW323_VF_2_240911_165039,11.0,DW323,70,20,300,8.5569142908027e-06,2.222128963543994e-05,-61.49226966037298,DW323_VF_2_240911_165039_11.0
193,DW323_VF_2_240911_165039,12.0,DW323,70,20,300,2.102922113330312e-05,2.4743664202459756e-05,-15.011693655248461,DW323_VF_2_240911_165039_12.0
194,DW323_VF_2_240911_165039,13.0,DW323,70,20,300,1.0904770949360173e-05,1.643037616582575e-05,-33.63042428668506,DW323_VF_2_240911_165039_13.0
195,DW323_VF_2_240911_165039,15.0,DW323,70,20,300,5.9702189664748895e-06,1.0888658789192599e-05,-45.170299831595834,DW323_VF_2_240911_165039_15.0
196,DW323_VF_2_240911_165039,18.0,DW323,70,20,300,4.365447852500884e-06,2.6462675203403085e-05,-83.50337666563853,DW323_VF_2_240911_165039_18.0
197,DW323_VF_2_240911_165039,20.0,DW323,70,20,300,5.960986255867922e-05,4.499496248460645e-06,1224.8119182024604,DW323_VF_2_240911_165039_20.0
198,DW323_VF_2_240911_165039,21.0,DW323,70,20,300,0.0,0.0,,DW323_VF_2_240911_165039_21.0
199,DW323_VF_2_240911_165039,22.0,DW323,70,20,300,1.7940795596765038e-05,6.4958849573874e-06,176.1870894336266,DW323_VF_2_240911_165039_22.0
200,DW323_VF_2_240911_165039,23.0,DW323,70,20,300,1.0980314815314645e-05,1.9847743121648762e-05,-44.677262558190016,DW323_VF_2_240911_165039_23.0
201,DW323_VF_3_240911_165617,0.0,DW323,70,100,300,0.0,0.0,,DW323_VF_3_240911_165617_0.0
202,DW323_VF_3_240911_165617,1.0,DW323,70,100,300,0.0,0.0,,DW323_VF_3_240911_165617_1.0
203,DW323_VF_3_240911_165617,2.0,DW323,70,100,300,0.0,0.0,,DW323_VF_3_240911_165617_2.0
204,DW323_VF_3_240911_165617,3.0,DW323,70,100,300,2.016308695037292e-06,1.6776309450724643e-06,20.187857821745094,DW323_VF_3_240911_165617_3.0
205,DW323_VF_3_240911_165617,6.0,DW323,70,100,300,1.5878679436044113e-07,2.3692852565564653e-06,-93.29811410757593,DW323_VF_3_240911_165617_6.0
206,DW323_VF_3_240911_165617,7.0,DW323,70,100,300,2.3599214035589923e-05,2.3632771006815602e-05,-0.14199338374666845,DW323_VF_3_240911_165617_7.0
207,DW323_VF_3_240911_165617,8.0,DW323,70,100,300,0.0,5.197533270598512e-07,-100.0,DW323_VF_3_240911_165617_8.0
208,DW323_VF_3_240911_165617,10.0,DW323,70,100,300,0.0,0.0,,DW323_VF_3_240911_165617_10.0
209,DW323_VF_3_240911_165617,11.0,DW323,70,100,300,8.089635056710811e-06,7.5449035149562276e-06,7.219860938907498,DW323_VF_3_240911_165617_11.0
210,DW323_VF_3_240911_165617,12.0,DW323,70,100,300,0.0,0.0,,DW323_VF_3_240911_165617_12.0
211,DW323_VF_3_240911_165617,14.0,DW323,70,100,300,2.818779037023793e-05,7.978194062926353e-06,253.31041270634142,DW323_VF_3_240911_165617_14.0
212,DW323_VF_3_240911_165617,15.0,DW323,70,100,300,4.754434345293528e-06,1.8488605405836173e-05,-74.28451610637582,DW323_VF_3_240911_165617_15.0
213,DW323_VF_3_240911_165617,16.0,DW323,70,100,300,2.909548081225827e-05,1.0722184340598211e-05,171.35777457296518,DW323_VF_3_240911_165617_16.0
